Body1,Body2,Body1_Mass,Body2_Mass,Distance,Body1_KineticEnergy,Body2_KineticEnergy,PotentialEnergy,TotalOrbitalEnergy,SimTime
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.611766e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.581000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.658146e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.582000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.705183e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.583000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.752878e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.584000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.801231e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.585000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.850242e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.586000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.899911e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.587000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.950237e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.588000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.001222e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.589000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.052864e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.590000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.105164e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.591000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.158122e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.592000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.211738e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.593000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.266012e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.594000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.320944e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.595000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.376533e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.596000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.432781e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.597000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.489686e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.598000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.547249e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.599000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.605470e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.600000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.664349e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.601000e+03
