timestamp,body_name,planet_x,planet_y,planet_z,planet_vx,planet_vy,planet_vz,craft_name,craft_x,craft_y,craft_z,craft_vx,craft_vy,craft_vz,,system_energy
1032681.270810,Moon,-345685715.659393,145949714.330456,0.000000,-360.880802,-943.583421,0.000000,,,,,,,,,-37886834037048930676028473344.000000,
1046764.890823,Earth,9027678.426166,11519223.361861,0.000000,3.984117,24.320167,0.000000,,,,,,,,,-37886834037050052177888804864.000000,
1046764.890823,Moon,-350510213.110068,132566358.898820,0.000000,-324.155809,-956.738048,0.000000,,,,,,,,,-37886834037050052177888804864.000000,
1060476.120836,Earth,9079259.810294,11853666.098768,0.000000,3.538958,24.460831,0.000000,,,,,,,,,-37886834037051200068028203008.000000,
1060476.120836,Moon,-354706979.062482,119368297.070340,0.000000,-287.936790,-968.182798,0.000000,,,,,,,,,-37886834037051200068028203008.000000,
1073777.610848,Earth,9123434.103652,12179850.429563,0.000000,3.102312,24.581312,0.000000,,,,,,,,,-37886834037046190693052055552.000000,
1073777.610848,Moon,-358301089.097980,106423401.620509,0.000000,-252.410363,-977.985351,0.000000,,,,,,,,,-37886834037046190693052055552.000000,
1087611.970861,Earth,9163185.749629,12520687.116148,0.000000,2.643798,24.689743,0.000000,,,,,,,,,-37886834037047255020307742720.000000,
1087611.970861,Moon,-361535363.579087,92830953.947746,0.000000,-215.104729,-986.807493,0.000000,,,,,,,,,-37886834037047255020307742720.000000,
1101100.980873,Earth,9195811.654926,12854346.214123,0.000000,2.193055,24.778745,0.000000,,,,,,,,,-37886834037042118101982773248.000000,
1101100.980873,Moon,-364189873.356872,79469541.730951,0.000000,-178.431431,-994.048917,0.000000,,,,,,,,,-37886834037042118101982773248.000000,
1114178.110886,Earth,9221617.279549,13178858.512361,0.000000,1.753201,24.849148,0.000000,,,,,,,,,-37886834037040486426727153664.000000,
1114178.110886,Moon,-366289471.276379,66431390.318626,0.000000,-142.643986,-999.777011,0.000000,,,,,,,,,-37886834037040486426727153664.000000,
1127334.650898,Earth,9241759.489631,13506166.328911,0.000000,1.308397,24.904103,0.000000,,,,,,,,,-37886834037042056529331617792.000000,
1127334.650898,Moon,-367928282.310826,53246946.890754,0.000000,-106.453862,-1004.248271,0.000000,,,,,,,,,-37886834037042056529331617792.000000,
1141185.620911,Earth,9256628.084687,13851413.772561,0.000000,0.838283,24.944671,0.000000,,,,,,,,,-37886834037044119213145325568.000000,
1141185.620911,Moon,-369138021.338654,39312606.503888,0.000000,-68.204413,-1007.549026,0.000000,,,,,,,,,-37886834037044119213145325568.000000,
1154523.530923,Earth,9264783.209246,14184290.310761,0.000000,0.384429,24.966923,0.000000,,,,,,,,,-37886834037043037293703593984.000000,
1154523.530923,Moon,-369801538.800760,25860440.736443,0.000000,-31.277937,-1009.359480,0.000000,,,,,,,,,-37886834037043037293703593984.000000,
1168243.930936,Earth,9266851.513069,14526905.208884,0.000000,-0.082972,24.972567,0.000000,,,,,,,,,-37886834037044193979936014336.000000,
1168243.930936,Moon,-369969820.191633,12006847.049153,0.000000,6.750738,-1009.818654,0.000000,,,,,,,,,-37886834037044193979936014336.000000,
1181939.220949,Earth,9262520.746529,14868850.729151,0.000000,-0.549400,24.960750,0.000000,,,,,,,,,-37886834037045051599005679616.000000,
1181939.220949,Moon,-369617460.248707,-1817947.119301,0.000000,44.700298,-1008.857206,0.000000,,,,,,,,,-37886834037045051599005679616.000000,
1195658.870962,Earth,9251781.936859,15211122.445174,0.000000,-1.015879,24.931449,0.000000,,,,,,,,,-37886834037044990026354524160.000000,
1195658.870962,Moon,-368743728.929655,-15644385.315555,0.000000,82.653974,-1006.473192,0.000000,,,,,,,,,-37886834037044990026354524160.000000,
1209266.970974,Earth,9234817.313788,15550096.572329,0.000000,-1.477144,24.885162,0.000000,,,,,,,,,-37886834037045249511098679296.000000,
1209266.970974,Moon,-367363452.814518,-29316529.098244,0.000000,120.183393,-1002.707190,0.000000,,,,,,,,,-37886834037045249511098679296.000000,
1223086.460987,Earth,9211178.975387,15893571.433860,0.000000,-1.943461,24.820669,0.000000,,,,,,,,,-37886834037049194558819139584.000000,
1223086.460987,Moon,-365440189.694522,-43138821.171508,0.000000,158.123908,-997.459969,0.000000,,,,,,,,,-37886834037049194558819139584.000000,
1236697.571000,Earth,9181615.761787,16230878.641478,0.000000,-2.400017,24.740018,0.000000,,,,,,,,,-37886834037048789938540118016.000000,
1236697.571000,Moon,-363034866.720305,-56672264.782439,0.000000,195.270227,-990.898019,0.000000,,,,,,,,,-37886834037048789938540118016.000000,
1250420.061013,Earth,9145542.387518,16569717.675082,0.000000,-2.856917,24.641615,0.000000,,,,,,,,,-37886834037047096690633342976.000000,
1250420.061013,Moon,-360099863.880042,-70216510.500068,0.000000,232.444563,-982.891764,0.000000,,,,,,,,,-37886834037047096690633342976.000000,
1264272.061025,Earth,9102797.335285,16910265.750487,0.000000,-3.314019,24.525026,0.000000,,,,,,,,,-37886834037041339647750307840.000000,
1264272.061025,Moon,-356622039.799125,-83767448.102284,0.000000,269.635337,-973.405784,0.000000,,,,,,,,,-37886834037041339647750307840.000000,
1277852.131038,Earth,9054775.872384,17242446.623276,0.000000,-3.757506,24.394060,0.000000,,,,,,,,,-37886834037041150531750330368.000000,
1277852.131038,Moon,-352714916.252618,-96915525.601861,0.000000,305.718343,-962.750171,0.000000,,,,,,,,,-37886834037041150531750330368.000000,
1291585.801051,Earth,9000121.684432,17576462.176060,0.000000,-4.200705,24.245026,0.000000,,,,,,,,,-37886834037037632094541447168.000000,
1291585.801051,Moon,-348268140.753460,-110055897.184276,0.000000,341.777873,-950.624489,0.000000,,,,,,,,,-37886834037037632094541447168.000000,
1305423.681064,Earth,8938937.466417,17910826.901478,0.000000,-4.641238,24.078212,0.000000,,,,,,,,,-37886834037040468834541109248.000000,
1305423.681064,Moon,-343290068.773905,-123118175.539866,0.000000,377.620567,-937.052168,0.000000,,,,,,,,,-37886834037040468834541109248.000000,
1320825.081078,Earth,8863729.706409,18280112.303196,0.000000,-5.123664,23.873202,0.000000,,,,,,,,,-37886834037042188470726950912.000000,
1320825.081078,Moon,-337171012.996460,-137423753.452721,0.000000,416.871717,-920.372122,0.000000,,,,,,,,,-37886834037042188470726950912.000000,
1335775.971092,Earth,8783679.529450,18635430.321785,0.000000,-5.583254,23.655038,0.000000,,,,,,,,,-37886834037044440270540636160.000000,
1335775.971092,Moon,-330657968.361717,-151053337.986638,0.000000,454.264839,-902.621822,0.000000,,,,,,,,,-37886834037044440270540636160.000000,
1348867.541104,Earth,8707993.805474,18943777.309466,0.000000,-5.978020,23.448811,0.000000,,,,,,,,,-37886834037044589804122013696.000000,
1348867.541104,Moon,-324500024.467086,-162761489.289856,0.000000,486.383797,-885.842827,0.000000,,,,,,,,,-37886834037044589804122013696.000000,
