timestamp,body_name,planet_x,planet_y,planet_z,planet_vx,planet_vy,planet_vz,craft_name,craft_x,craft_y,craft_z,craft_vx,craft_vy,craft_vz,,system_energy
505456.020319,Moon,87364232.409998,374590920.254266,0.000000,-991.239785,228.651267,0.000000,,,,,,,,,-37886834037054714107190575104.000000,
518416.050331,Earth,3804353.420602,1874231.545536,0.000000,12.270968,10.176862,0.000000,,,,,,,,,-37886834037049295713888894976.000000,
518416.050331,Moon,74470095.433176,377329926.058405,0.000000,-998.390807,193.989854,0.000000,,,,,,,,,-37886834037049295713888894976.000000,
531376.110343,Earth,3963875.234433,2008901.291960,0.000000,12.343995,10.605865,0.000000,,,,,,,,,-37886834037048750356121518080.000000,
531376.110343,Moon,61491077.357707,379618103.874735,0.000000,-1004.332471,159.085363,0.000000,,,,,,,,,-37886834037048750356121518080.000000,
544336.180355,Earth,4124246.701673,2149147.609519,0.000000,12.402051,11.037337,0.000000,,,,,,,,,-37886834037046705264493854720.000000,
544336.180355,Moon,48442929.758849,381452570.781559,0.000000,-1009.056000,123.979880,0.000000,,,,,,,,,-37886834037046705264493854720.000000,
557296.190367,Earth,4285272.314706,2294998.348531,0.000000,12.445045,11.470757,0.000000,,,,,,,,,-37886834037050245691935293440.000000,
557296.190367,Moon,35341559.532585,382830989.280434,0.000000,-1012.554061,88.715978,0.000000,,,,,,,,,-37886834037050245691935293440.000000,
570256.230379,Earth,4446757.504614,2446476.366529,0.000000,12.472905,11.905602,0.000000,,,,,,,,,-37886834037052308375749001216.000000,
570256.230379,Moon,22202797.200336,383751591.616254,0.000000,-1014.820836,53.336100,0.000000,,,,,,,,,-37886834037052308375749001216.000000,
583216.430391,Earth,4608507.398516,2603598.351046,0.000000,12.485578,12.341349,0.000000,,,,,,,,,-37886834037051068126632869888.000000,
583216.430391,Moon,9042498.014647,384213152.917500,0.000000,-1015.851958,17.882826,0.000000,,,,,,,,,-37886834037051068126632869888.000000,
596176.640403,Earth,4770323.047868,2766370.782606,0.000000,12.483029,12.777463,0.000000,,,,,,,,,-37886834037050518370818981888.000000,
596176.640403,Moon,-4123151.167640,384214992.615597,0.000000,-1015.644519,-17.600293,0.000000,,,,,,,,,-37886834037050518370818981888.000000,
609136.640415,Earth,4932004.290245,2934792.070941,0.000000,12.465240,13.213404,0.000000,,,,,,,,,-37886834037050601933702692864.000000,
609136.640415,Moon,-17277864.726135,383757015.257909,0.000000,-1014.197188,-53.069367,0.000000,,,,,,,,,-37886834037050601933702692864.000000,
622096.770427,Earth,5093357.856726,3108860.981928,0.000000,12.432214,13.648651,0.000000,,,,,,,,,-37886834037049489227935383552.000000,
622096.770427,Moon,-30405917.909589,382839668.735356,0.000000,-1011.510090,-88.481940,0.000000,,,,,,,,,-37886834037049489227935383552.000000,
635056.790439,Earth,5254183.394615,3288561.790091,0.000000,12.383971,14.082662,0.000000,,,,,,,,,-37886834037046758041051987968.000000,
635056.790439,Moon,-43491009.616708,381463987.224334,0.000000,-1007.584946,-123.793929,0.000000,,,,,,,,,-37886834037046758041051987968.000000,
648016.920451,Earth,5414286.656190,3473878.113101,0.000000,12.320550,14.514910,0.000000,,,,,,,,,-37886834037048341337795985408.000000,
648016.920451,Moon,-56517335.458957,379631528.464408,0.000000,-1002.424894,-158.962514,0.000000,,,,,,,,,-37886834037048341337795985408.000000,
660976.960464,Earth,5573468.825339,3664780.760010,0.000000,12.242010,14.944856,0.000000,,,,,,,,,-37886834037049770702912094208.000000,
660976.960464,Moon,-69468719.354728,377344463.090349,0.000000,-996.034746,-193.943801,0.000000,,,,,,,,,-37886834037049770702912094208.000000,
